Protein.Group;Protein.Names;Genes;First.Protein.Description;Muestra12;Muestra13;Muestra18;Muestra14;Muestra15;Muestra19;Muestra04;Muestra05;Muestra06;Muestra07;Muestra08;Muestra09;Muestra17;Muestra10;Muestra11;Muestra16;Muestra20;Muestra01;Muestra02;Muestra03;Muestra21;Muestra22;Muestra23;mean_abundance
A0A1S3KL55   ;Zinc finger protein 862-like isoform X1;LOC106560765;;26976,9;23384,8;23935,8;22321,3;27067,5;29582,4;24249,1;20165,9;17398,1;27749,6;25516,1;20369,9;;;;;;22754,3;21491,7;23821;27568;28942,3;24777;24337,31667
A0A1S3KL73   ;Serotransferrin;mfi2;Belongs to the transferrin family;;4742,35;;;;;;;;;;;;;;;;;1522,86;;;;;3132,605
A0A1S3KL75   ;Sorting nexin-1-like isoform X2;LOC106560773;Belongs to the sorting nexin family;235259;211960;249230;175954;268278;219955;246981;236932;228942;250019;349394;245996;54062,9;65483,5;55075;53172,2;46358,8;256380;240226;255346;288496;277316;269816;189590,7423
A0A1S3KL83   ;ferroxidase;cp;Belongs to the multicopper oxidase family;292755;288420;277153;208367;146555;133429;157322;290136;214740;214212;184819;202133;206990;203870;221774;183569;303498;262408;288647;328512;217223;268756;239003;232859,3462
A0A1S3KL93   ;Lon protease homolog, mitochondrial;lonp1;Belongs to the peptidase S16 family;66362;51713,7;70816,8;41591,9;84567;77049,6;67189,8;52789,7;52323,1;58350,3;62884,2;56209,3;4164,7;3660,92;3231,49;6299,75;6112,52;30596,6;23371,2;26970;33371,6;24756,9;35516,9;36856,10192
A0A1S3KL94   ;Mannose-6-phosphate isomerase;LOC106560745;Belongs to the mannose-6-phosphate isomerase type 1 family;56134,2;45452,7;59302,3;55636,9;63108,3;69865,4;66097;59844,3;66093,1;59703,4;56946,4;72167,9;7658,18;10037,8;10788,2;9942,52;21608,7;74753,1;92741,7;83721,4;61914,3;77635,6;78876,2;49605,93154
A0A1S3KLC0   ;protein-tyrosine-phosphatase;ptpn9;;;7761,92;5351,07;9454,12;6400,56;6684,53;10579,3;9996,8;11371,7;;15654,8;11413,9;;;;;;;5605,26;6372,57;;;9469,41;8931,995385
A0A1S3KLC2   ;MIP18 family protein FAM96A;fam96a;Belongs to the MIP18 family;28932,9;14341,1;28192,1;;12231,5;22862;22927,5;16702,2;10233,7;32759,3;19964;12596,2;;;;;;49850,9;51940,7;50043,3;60025,4;48419,2;53797,6;31518,8
A0A1S3KLC5   ;Chondroitin sulfate proteoglycan 4;cspg4;;134617;134139;127510;106668;103899;90461,2;71973,2;171217;76872,5;118542;155465;123941;151619;155901;199551;137251;137493;142604;119984;97202,7;157125;100126;100738;130673,1
A0A1S3KLD0   ;Activating molecule in BECN1-regulated autophagy protein 1-like isoform X1;LOC106560763;;;;;;;;;6994,03;8251,5;;;7264,31;;;;;;;;;;;6550,36;7265,05
A0A1S3KLF6   ;SAPS domain family, member 3 isoform X1;saps3;Belongs to the SAPS family;8034,47;6749,9;;6840,84;;;;6793,53;8066,87;;;;;;;;;;5416,86;10578,4;;6944,17;;7428,13
A0A1S3KLG7   ;PHD finger protein 3-like;LOC106560778;;26703,1;23140,9;21465,9;25058,4;26473,9;23184,8;20433,6;19937,6;22451,3;24366,3;36292,8;23340,2;35272,7;41230,1;39314,6;38204,7;30318,7;27698,5;25402,8;21746,3;26605,5;26902,6;26563,8;28010,71538
A0A1S3KLI1   ;Cathepsin L1-like;LOC106560797;Belongs to the peptidase C1 family;22288,3;8388,35;24887,6;19525,4;27485,4;28294,7;17437;17700,7;20429;28194,6;16221,3;17182,4;28098,4;30505,1;24971,4;29047,6;35234,2;45927,8;60277,8;212958;33995,1;57452,2;73067,5;37139,53654
A0A1S3KLI2   ;Proteasome subunit alpha type;psma4;Belongs to the peptidase T1A family;51005,2;22027,3;43410,2;9188,1;24060;31687;41766,7;23435;18524,4;54193,9;26082,7;19831,1;103620;96602,5;133350;134820;88181,9;54143,9;77421,9;59984;59128,5;;81889,7;63244,608
A0A1S3KLI5   ;ADP-dependent glucokinase isoform X1;adpgk;;50081,6;56390,3;52040,2;67840,7;53185,5;36660,3;30334,5;36593,3;31402,5;38323,8;31816,1;42192,1;137456;144375;151271;123183;122099;50425,2;47651,8;43800,1;40767,3;43428,9;44732,9;71186,27308
A0A1S3KLK2   ;Arpin;arpin;Belongs to the Arpin family;417838;397816;385263;408874;389825;405543;348425;382816;404612;371201;371697;384143;30000;;80509;62540,7;37316,6;498055;428782;476890;555962;507269;420415;317635,06
A0A1S3KLK7   ;C-factor-like isoform X1;LOC106560815;Belongs to the short-chain dehydrogenases/reductases (SDR) family;13715,5;19013,3;9428,3;10945,6;13419,7;11648,1;12926,4;16267,5;17866,7;8884,69;;12068,2;;;;;;20681,2;14975,9;15332,1;;7049,77;;12905,47625
A0A1S3KLM3   ;Nuclear pore complex protein Nup93;nup93;Belongs to the nucleoporin interacting component (NIC) family;20842,4;42948,3;33005,9;31799,8;29314,3;35268,4;51401,3;55065,1;58645,4;26696,3;42270,9;50793,4;;;;;;16963,6;23678,4;17372,8;;19579,4;28575,1;34365,92941
A0A1S3KLM5   ;Iron-responsive element-binding protein 2;ireb2;Belongs to the aconitase/IPM isomerase family;39925,2;44695,9;35699,9;49574,2;31050,1;36846,4;34888,1;50645,8;38353,3;37507,6;35830,9;36614,3;;;;;;38595,3;19912,5;30734,1;10306,9;27378;34205,7;35153,56667
A0A1S3KLM9   ;Enhancer of mRNA-decapping protein 4;LOC106560824;Belongs to the WD repeat EDC4 family;109208;120171;110027;126258;111587;113474;122316;124671;129882;100799;115923;115380;77478;74611,8;60528,9;52365,2;59259,8;98807,2;98796,7;94854,6;89654,7;95193,1;111718;95921,45
A0A1S3KLQ6   ;Catalase;cata;Belongs to the catalase family;48810,4;54815,2;43146,7;51204,4;73848,9;56064,6;64454,4;79398,2;82133,4;91573,7;73925,8;60196,8;24421,5;32869,3;40984,2;61353,5;44546,5;54992,3;52895,9;32528,5;30155,7;25385,9;31490,6;51611,83846
A0A1S3KLR0   ;Transcriptional repressor CTCF-like isoform X3;LOC106560835;;4503,54;7843,73;3831,37;8714,1;2840,63;;3610,03;6218,8;6685,95;;;;;;;;;;;;;;;5531,01875
A0A1S3KLR8   ;Pseudouridylate synthase 7 homolog isoform X3;pus7;Belongs to the pseudouridine synthase TruD family;204833;201581;209456;207168;209727;205533;163459;164027;172699;178673;164520;159290;27202,5;31311;24357,6;29745,3;37228,8;148792;145399;139875;133888;146347;139153;128539,6538
A0A1S3KLS0   ;Breast cancer anti-estrogen resistance protein 1-like isoform X1;LOC106560839;Belongs to the CAS family;164011;47672,1;97962,5;44442,3;29648,6;104421;57668,2;43622,9;40175,7;102427;76165,6;58260,5;85883,9;656203;664603;21768,6;23426,3;157974;863740;34986,2;1164500;78945,5;144015;229881,9231
A0A1S3KLW1   ;Ran-binding protein 10-like isoform X1;LOC106560827;Belongs to the RANBP9/10 family;44792,7;39451,9;44988,8;32797,1;47198,1;47550,9;41213,6;45793,9;38960,1;52758;48332,8;44723,6;38077,2;43521,1;55844,9;38397;;53660,1;51365,2;57021,6;49039,4;48080,4;49715,7;46742,40435
A0A1S3KLX9   ;Activating signal cointegrator 1 complex subunit 1-like isoform X3;LOC106560826;;69251,9;37507,6;38027,7;45252,7;47194,8;46166,4;59959,6;56666,4;48711,8;50644,3;41201,8;55227,4;;11254;12507,6;;;44269,5;44732,6;47798,8;54528,1;56071,2;32680,3;44982,725
A0A1S3KLZ4   ;Breast cancer anti-estrogen resistance protein 1-like isoform X3;LOC106560839;Belongs to the CAS family;;36185,2;22521,7;27271,3;33041,9;26694,1;27658,8;40439;30737,8;24071,7;37052,5;41305,6;;;;;;33278,7;31540,5;32549,9;29801,2;27782,9;34969,2;31582,47059
A0A1S3KLZ9   ;Guanine nucleotide-binding protein G(O) subunit alpha isoform X2;LOC106560843;;48422,5;53703,8;51086,8;31761;31053,7;27676,7;28888;41870,5;34375,3;27831,5;34666,8;46459,1;9088,38;11018;15416,5;;6346,18;32319,2;31375,6;30304,5;43807,1;28786,2;26585,6;29696,12458
A0A1S3KM15   ;Arachidonate 15-lipoxygenase B-like isoform X1;LOC106560831;Belongs to the lipoxygenase family;169005;106166;172617;117024;210708;180292;148999;149225;145534;190694;183359;170056;64520,9;78774,5;59446,1;68894,3;152234;223201;210177;250091;171859;202252;243201;152388,5077
A0A1S3KM23   ;small monomeric GTPase;LOC106560851;Belongs to the small GTPase superfamily. SAR1 family;;11588;32169,5;12918,4;24651,8;28388,7;19654,2;19880,4;16251,2;;20092,4;;;;;;;35930,2;29183,9;32038,8;29986,1;30695,6;;24530,65714
A0A1S3KM30   ;Beta-2-syntrophin-like;LOC106560900;Belongs to the syntrophin family;39091,3;44028,8;;31468,5;28209;;32254,9;52390,1;25605,5;59167,7;45078,3;40916,2;;;;;;;39977,7;29613,7;;29447,2;;38249,91538
A0A1S3KM32   ;Splicing factor 3B subunit 3;sf3b3;;299326;245981;308677;257627;317023;306405;271446;245199;262511;308047;301577;277463;183741;178992;139777;116697;134549;282131;283295;289363;234732;286449;301994;239028,5769
A0A1S3KM43   ;Heat shock factor protein 1-like;LOC106560841;Belongs to the HSF family;16654,1;12801,4;19226,4;12933,3;19985,2;19106,5;20143,8;19087,8;10569,1;28871,8;27102,3;17629;13076,4;13024,4;8212,4;14537,1;11171,6;21423,2;20463,6;20841,2;25428,9;29997,6;27299,5;17946,24
A0A1S3KM47   ;Secretory carrier-associated membrane protein;scamp2;Belongs to the SCAMP family;;;14733,7;;;;;;;;;;;;;;;16618,3;10470,4;18214,2;17360,9;13171,4;;15094,81667
A0A1S3KM58   ;Cholesteryl ester transfer protein;LOC106560849;Belongs to the BPI/LBP/Plunc superfamily. BPI/LBP family;19236,4;12235,6;11894,4;5556,17;;7186,25;6010,89;8668,78;5619,15;10199,3;8958,25;6590,11;3506,91;;;;;17111,7;12776,5;11661,2;19605,6;8618,49;12522,8;10442,13889
A0A1S3KM62   ;Zinc finger protein 609-like isoform X1;LOC106560750;;;;3662,72;;;;;;;;;4875,3;;;;;;;;;;7274,93;;5270,983333
A0A1S3KM65   ;Transport and Golgi organization protein 6 homolog isoform X2;tango6;Belongs to the Tango6 family;15057;;10769,4;8745,17;10891,7;11318,5;9243,42;13803,4;;12442,6;9726,08;;;;;;;7672,94;;7973,81;;;9564,33;10600,69583
A0A1S3KM69   ;Carboxylic ester hydrolase;LOC100380756;Belongs to the type-B carboxylesterase/lipase family;435237;352453;411524;170878;134557;140061;170091;268215;204149;213543;254510;230737;207589;212995;196967;299077;354181;380619;334049;431687;374856;323094;333158;281907
A0A1S3KM71   ;Septin;LOC106560914;Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. Septin GTPase family;6674,19;4063,78;7805,64;;;;;4985,27;;7706,13;;;;;;;;7191,37;6649,76;6444,35;;6437,26;6419,2;6437,695
A0A1S3KM74   ;Protein FAM192A-like isoform X3;LOC106560853;;19168,1;10428,8;13845,8;;;16978,6;;10619,8;7705,16;;;;;;;;;25034,8;18626,9;17215,2;18102,8;21932;11121,2;15898,26333
A0A1S3KM75   ;Gigaxonin-like;LOC106560888;;107933;85883,1;115885;93155;116539;137442;134852;131231;115541;207563;174541;153006;27749,3;28121;22507,9;23246,3;27889,5;140233;136991;148441;132926;155698;158261;101980,9769
A0A1S3KM81   ;Olfactomedin-4-like;LOC106560917;;6861,48;11465;;15899,5;9504,85;;11146,7;25736,4;14916,4;10526,5;14484,8;11930,9;;;;;;21794,6;24216,1;18990,4;11930,4;15319,9;11915,6;14789,97063
A0A1S3KM84   ;Kelch-like protein 36;klhl36;;6298,41;5419;6795,1;6348,61;7571,05;7142,84;7597,43;6471,62;8185,46;;7891,16;7101,71;;;;;;;5816,68;6251,93;;4105,19;5975,94;6598,142
A0A1S3KM90   ;Peptide deformylase;LOC106560894;Belongs to the polypeptide deformylase family;31681,4;22191,3;31532,9;26811,9;41649,3;35035,1;27006,4;19829,2;23288,3;30696,3;25079;25204;9196,33;11241,2;6966,27;12508,6;8911,5;15526;17168,8;13860,7;26096,2;20531,5;22849,9;20182,18462
A0A1S3KMA1   ;Fatty acid 2-hydroxylase;fa2h;Belongs to the sterol desaturase family. SCS7 subfamily;;;;;;;;;;;;;;6058,97;;18228,7;17729,5;;;;;;;16347,074
A0A1S3KMA6   ;Zinc finger protein 319-like isoform X2;LOC106560927;;;;;;5918,6;;8287,42;10149,8;;7996,97;;;;;5082,54;;;;9565,04;;;;9686,31;7478,455
A0A1S3KMB4   ;Protein transport protein Sec31A-like;LOC106560878;Belongs to the WD repeat SEC31 family;16073,4;19700,9;15825,3;28118,8;17593,4;20069;21472,2;26086,2;22590,8;17703,9;19510,5;22304,9;;;;9646,74;;21222;22064,1;19048,3;28818,1;14692,5;16407,2;19443,1935
A0A1S3KMB6   ;Phosphatidylcholine-sterol acyltransferase-like;LOC106560930;Belongs to the AB hydrolase superfamily. Lipase family;68992;59185,8;59469,7;28143,8;16144,4;19832,8;22725,9;25568,4;21075,3;19372,4;18315,8;19627,9;20137,4;23314,3;24072,5;61279,5;68474,4;25990,5;31399;24848,7;20210,4;21021,7;25807,8;32937,95
A0A1S3KME4   ;Uncharacterized protein LOC106560895 isoform X2;LOC106560895;;26701,4;13710,9;26125,4;;;6874,19;9858,68;16633,5;8083,63;15005,9;15241,5;16369,2;;;;;;14742,5;23299,8;27012,2;22750,7;30615,8;24900,7;18620,375
A0A1S3KMF4   ;Charged multivesicular body protein 1a;chmp1a;Belongs to the SNF7 family;90388,8;60783,7;68753,5;65976;90199;82031,3;28715,5;33397,6;29897;23788,5;36651,6;21635;24257,8;29455,1;26373,1;8007,39;25305,9;55305,2;54507,9;58319;122805;67973,3;55524,1;46806,92654
A0A1S3KMG2   ;A-kinase anchor protein 13-like isoform X2;LOC106560961;;74878,4;59474,2;44925,6;38058,5;50991,2;62942,5;88247,3;60375,2;89328,1;52468,8;50218,5;65847,8;;;;;;59698;58748,9;60343,2;;62935,7;46404,7;60346,27059
A0A1S3KMG3   ;Sorting nexin;snx33;Belongs to the sorting nexin family;11458;13654,6;9995,62;14476,9;7991,13;14192,1;13303,9;15571,9;19444,3;11539,1;11826,7;18827,6;;;;;;7778,29;9689,21;8585,97;;6045,83;13202,8;12210,82059
A0A1S3KMI4   ;Carbonic anhydrase;ca5a;Belongs to the alpha-carbonic anhydrase family;16421,6;24889,5;;21378;14179,6;13724,1;11595;15060,7;15446,6;;;14404,7;;;;;;6790;13661,9;;;;12707,3;15021,58333
A0A1S3KMI9   ;Kelch domain-containing protein 4;klhdc4;;26652,9;34800,8;30045,7;27850,3;31065,2;35165,1;31711,4;30651,2;34558,5;31819,5;27908,2;27951,3;9278,35;10820,3;13089;;9948,68;32191,2;36066,6;33361;37591,2;38057,8;35273,2;27877,16652
A0A1S3KMJ2   ;DNA replication complex GINS protein PSF3;gins3;Belongs to the GINS3/PSF3 family;24560;17810,7;17798,4;18292,7;20517,3;19565,9;24822,8;14560;21472,5;28726,5;22323,1;19789,7;;;;;;21538;19633,6;17033,2;16822,5;15660,7;14159,3;19727,05
A0A1S3KML1   ;Beta-parvin isoform X1;parvb;Belongs to the parvin family;7114,23;13644,1;8367,14;16319,4;7942,46;5169,99;5499,7;13022,1;7935,08;6754,32;10875,6;10504,4;;;;;;8895,16;5967,71;6083,06;;4269,45;;8647,74375
A0A1S3KML3   ;Nucleolar protein 14 isoform X1;nop14;Belongs to the NOP14 family;102770;91956,3;91504,7;93288,4;114515;108334;154094;126182;131235;115830;148041;135743;;;;;;87398,2;107400;108097;67969,1;108598;123762;112039,8722
A0A1S3KML6   ;non-specific serine/threonine protein kinase;LOC106560984;;81717,4;36202,3;96182,7;52132,9;92291,3;96267;74753,1;59052,6;39285,6;116510;74230,4;69677,5;;;;;;69964,7;78368,6;70615,8;68817,6;69955,5;69575,7;73088,92778
A0A1S3KMM9   ;SUMO-activating enzyme subunit 2;LOC106560931;Belongs to the ubiquitin-activating E1 family;17973;12076,3;14289,5;;16689,8;13171,3;18139,9;14393,3;13950,2;18880,2;17637,5;20373,8;;;;;;19169,6;18285,1;15748,4;;16135,8;12969,4;16242,69375
A0A1S3KMR0   ;Fibulin-7-like;LOC106561005;Belongs to the fibulin family;12287;17200,4;20519;;;;;;8008,21;;8607,89;8518,95;;;;;;8883,22;8177,78;;;;6839,27;11004,63556
A0A1S3KMT9   ;Cytosolic 5'-nucleotidase 1A-like;LOC106561018;;50892;47428,3;57531;52239,6;73208,6;65815;55304,2;48176,6;47382,6;53451,5;53678,4;59518,4;49519,8;55931,7;55644,8;46496,2;69077,9;50564,5;52912,7;54861,7;37893,2;65114,3;60640,4;54811,92692
A0A1S3KMU0   ;Protein MON2 homolog;LOC106560994;Belongs to the MON2 family;40380,1;38895,3;41796;33543,1;46735,1;45926,3;54224,5;44827,5;42843,4;50621,4;57734,7;48140,8;;;;;;41532,8;49653;51800,4;27233;41456,2;56241;45199,14444
A0A1S3KMU4   ;protein-tyrosine-phosphatase;ptprz1;Belongs to the protein-tyrosine phosphatase family. Receptor class 5 subfamily;43300,5;57127,1;54868,5;33011,5;29306,3;33060,6;32904,7;39612,1;42672,3;22849,4;36171,3;40968,9;55993,9;71607,8;55552,1;81320,4;63938;40724,7;35276,2;32581,7;62677;41876,8;29752,2;47517,85385
A0A1S3KMU5   ;Formin-binding protein 4-like;LOC106560997;;69673,4;66564,2;55425,4;67466,2;53940,7;59045,2;54079,9;42967,5;56580,4;43240,5;54456,3;55194;69337,1;61069,9;70188,9;98352,1;84110,8;46645,5;58689,4;57739,9;57949,4;50326,7;46879,4;61919,22308
A0A1S3KMW4   ;Plexin-B2-like;LOC106560979;Belongs to the plexin family;87367,4;82364,3;94412,7;99631;125702;95835,1;94158,2;86406,1;80999,1;111761;99062,7;102835;125480;138821;110713;89692;122841;71938,5;69914,5;103226;549718;68705,7;98240,7;122398,9615
A0A1S3KMX6   ;Core-binding factor subunit beta-like isoform X1;LOC106560844;Belongs to the CBF-beta family;41120,7;40208,6;34613,2;30885,9;23075;24854,4;28471,1;25012;27555,7;36562,1;20156;23626,5;;;;;;39140,4;26906,1;;26234,6;31690,7;30727;29036,88333
A0A1S3KMY2   ;Tyrosine--tRNA ligase;yars2;Belongs to the class-I aminoacyl-tRNA synthetase family;;;;;;10221,4;6756,74;7729,92;9828,32;;;;;;;;;;;;;;;8634,095
A0A1S3KMY6   ;Ferritin;LOC106561011;Belongs to the ferritin family;;;;;8541,02;6931,84;;;;;;;25362,5;29056;22844,2;8812,63;16022,8;;9492,71;;16622;9644,18;;15170,89077
A0A1S3KN01   ;MOB kinase activator 2-like isoform X2;LOC106561048;;57449,1;37859,5;54313,4;26579,5;71634,4;70549,2;63817,8;50187,1;34253,1;82494,8;78028,3;53810,1;;;;;6790,22;57312,6;53199,5;61455,7;43867;62520,5;68546,8;54456,24316
A0A1S3KN07   ;Mixed lineage kinase domain-like protein;LOC106561002;;;;;;11703,6;;18967,7;17008;17984,2;12618,3;10698,8;12350,6;;;;;;;17398,1;13562,5;;12590,2;;14488,2
A0A1S3KN19   ;Golgi apparatus protein 1;LOC106561003;;49803,6;29664,1;44392,6;71140,9;36840,2;26263,8;15660,7;27687,6;29634,8;38584,7;29874;23282,9;37738;41673,7;41675,4;59559,8;44899,1;27272;24773,6;26696,7;;6455,87;23680,1;35492,3988
A0A1S3KN44   ;Zinc finger CCCH domain-containing protein 18;zc3h18;;9209,4;14851,1;8272,55;7215,5;3445,17;4674,75;3302,8;7105,62;5093,95;;5592,73;4123,98;16493,2;13973,4;17222,8;43863,3;26812,4;;11683,9;8997,57;;13627,3;2654,19;14339,4787
A0A1S3KN82   ;Small ribosomal subunit protein uS15;LOC106561079;Belongs to the universal ribosomal protein uS15 family;43273,9;15516,1;50185,8;21412,2;44132,5;41269,1;44899,5;30939,6;22772,1;66805,5;64542,9;53826,7;;;;;3412,8;92126,2;89980;87643,2;64253;75934,8;89700;50282,9295
A0A1S3KN99   ;Ubiquinone biosynthesis protein;LOC106560911;Belongs to the COQ9 family;58505;42040;76240,6;96952,3;103038;56488,8;36319,4;24327,6;30925,6;51081,4;50329,1;31867,7;;;;;;32441,3;61186;15533,6;;34808,4;51843,7;50231,08824
A0A1S3KNB5   ;Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase;ppip5k1;Belongs to the histidine acid phosphatase family. VIP1 subfamily;;5318,36;3828,19;5441,85;5054,31;6559,87;2658,65;4389,91;6910,77;;6557,4;6490,39;;;;;;6006,69;6584,66;4974,74;;6171,69;4086,26;5402,249333
A0A1S3KNE5   ;Apoptosis inhibitor 5;api5;Belongs to the API5 family;111004;102428;117028;92027;127597;129520;118340;106638;103848;109092;111527;112243;11947;13017,3;11636,9;11680,3;16200;125306;147603;129513;97879,3;124792;130118;84963,95385
A0A1S3KNF5   ;Creatine kinase U-type, mitochondrial;LOC106561094;Belongs to the ATP:guanido phosphotransferase family;9227,79;5252,22;7900,89;18154,6;15429,9;11991;;;;;;;;;;;;;;;;;;11326,06667
A0A1S3KNF9   ;Flocculation protein FLO11-like;LOC106561136;;228208;88310,9;246079;69460,5;137072;99156,9;122942;86289,6;98528,9;160037;136387;126643;70169,7;76702,6;151970;200842;210579;191604;126906;144187;127598;108865;108472;140978,3885
A0A1S3KNI6   ;Serine beta-lactamase-like protein LACTB, mitochondrial isoform X2;LOC106561153;;11176,3;;12035,7;;10210;17822,4;;;;11246,3;;;;;;;;;;11083,6;;15956,5;11659,4;12648,775
A0A1S3KNL3   ;Tripartite motif-containing protein 16-like;LOC106561083;;61048,6;33620,2;76789,4;62732,2;75490,8;72424,9;95971,9;99550,4;91300,4;134230;125581;92273,5;22426,7;21803;18647,4;;43813,6;101253;68880,9;103159;66715,1;100035;84857,1;70264,444
A0A1S3KNL6   ;Ribonucleases P/MRP protein subunit POP1-like;LOC106561139;;31922,7;;34451,3;15868,7;31345,1;37786,2;44850,7;;13888,3;25974,5;33588,5;31335,6;;;;;;53263,2;33213,1;46814,8;42947,4;49997,8;31321,6;34910,59375
A0A1S3KNM3   ;Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3;alkbh3;;;;9541,39;8626,84;9651,92;6728,79;;;;;9895,37;;;;;;;10834,1;;10298,3;;9242,21;;9352,365
A0A1S3KNP3   ;Histone deacetylase 10 isoform X1;hdac10;;131799;95033,2;126374;91925,7;162708;137990;106918;98964,1;96602,6;147549;131000;114607;26573;34732,1;36734,6;31743;29458,2;133888;142017;134169;120519;121211;129652;96152,77308
A0A1S3KNQ3   ;Ribonuclease UK114;hrsp12;Belongs to the RutC family;375685;289302;443894;185143;290083;281961;303985;225734;186074;352622;284637;276794;475572;502452;509572;928939;506219;428850;382836;407843;572075;408932;408347;419431
A0A1S3KNS7   ;Retinol dehydrogenase 12-like;LOC106561176;Belongs to the short-chain dehydrogenases/reductases (SDR) family;21503,2;24216,5;20975,6;19775,5;13323,9;15447,1;10801,5;18160,5;12350,6;12069,2;10052,1;12497,7;;;;;;11907,5;20527;15687,8;11373,9;18014,3;15801;15804,71667
A0A1S3KNT1   ;Tropomyosin alpha-1 chain isoform X1;tpm1;Belongs to the tropomyosin family;145921;90806,2;116066;91554;62586,8;57363,7;75434,1;132222;105208;91402,4;100921;96452,1;68294,5;71581,4;94403,4;155299;142422;103300;88804,1;69189,5;73499,7;68575,2;52290,2;98104,94615
A0A1S3KNU4   ;Proline-serine-threonine phosphatase-interacting protein 1-like isoform X1;LOC106561158;;;;;;15551,7;;;;;;;;;;;;;22862,9;;;;;18015,3;18809,96667
A0A1S3KNV6   ;Glycine cleavage system H protein;LOC106561216;Belongs to the GcvH family;170289;103682;192907;80704,8;136662;184802;106581;87653,9;63055;151065;91309,1;60441,1;298424;289342;298951;272754;245893;173220;182621;156629;335975;201106;202735;189836,0346
